key,en,jp
dialogue.options_reminder,"Also, remember to check out the Options page\nto adjust the music volume!",オプションページで\n音楽の音量を調整するのも忘れずに！
dialogue.free_space_info,"After this dialogue ends, there will be a free space\nfor you to explore the mechanics of the game.",この会話が終わると、ゲーム\nの仕組みを自由に試せるスペースがあります。
dialogue.back_to_menu,Click the 'Back to Menu' button on the \ntop right corner when you are done!,終わったら右上の「メニューに戻る」\nボタンをクリックしてください！
dialogue.restart_game,Note that you will have to click Start Game\nagain to start the main game!,メインゲームを始めるには、もう一度「ゲーム開始」\nをクリックする必要があります！
dialogue.music_skip,"You can press the I key to skip a song backwards,\nand O key to do the opposite [skip forwards].",Iキーで曲を戻し、Oキーで次の曲にスキップできます。
dialogue.options_midgame,"Also, press Esc to access the Options page mid-game!",ゲーム中にEscキーを押すと\nオプションページにアクセスできます！
dialogue.recent_updates,Most Recent Updates [v1.0a]: Added Japanese language support! \nSorry if the translations are incorrect \nas they are [90%] being done by AI.,"最新の更新情報【v1.0a】：日本語サポートを追加！翻訳\nはAIによるものなので、間違っていたらごめんなさい。"
dialogue.closing,"That's all, enjoy your game, and happy climbing!",以上です！ゲームを楽しんで、楽しく登ってくださいね！
Free Exploring Space - Press Button on the right to leave -->, "Free Exploring Space - Press Button on the right to leave -->", "自由探索スペース - 右のボタンを押して退出 -->"
Back to Menu, "Back to Menu", "メニューに戻る"
Press Space to Continue, "Press Space to Continue", "スペースキーを押して続ける"
Skip Tutorial, "Skip Tutorial", "チュートリアルをスキップ"
Task List:, "Task List:", "タスクリスト："
y_level, "Y Level: ", "Yレベル："
BGM Volume:, "BGM Volume:", "BGM音量："
SFX Volume:, "SFX Volume:", "効果音音量："
Resume, "Resume", "再開"
Quit, "Quit", "終了"
music.igaku,Igaku - Sasuke Haraguchi [Feat. Kasane Teto], イガク - 原口沙輔【重音テト】
music.pppp, "PPPP - TAK [feat. Kasane Teto, Hatsune Miku]",PPPP - TAK【重音テト・初音ミク】
music.lemon_melon_cookie,Lemon Melon Cookie - TAK [feat. Hatsune Miku],レモンメロンクッキー - TAK【初音ミク】
music.ochame_kinou,Ochame Kinou - LamazeP [feat. Kasane Teto],おちゃめ機能 - ラマーズP【重音テト】
music.override,Override - Yoshida Yasei [feat. Kasane Teto],オーバーライド - 吉田夜世【重音テト】
music.tetoris,Tetoris - Hiiragi Magnetite [feat. Kasane Teto],テトリス - 柊マグネタイト【重音テト】
music.from_the_start,From The Start - Laufey [feat. Kasane Teto],フロム・ザ・スタート - Laufey【重音テト】
music.lover_girl,Lover Girl - Laufey [feat. Kasane Teto],ラバー・ガール - Laufey【重音テト】
music.big_cat_waltz,Big Cat Waltz - Hayato Sumino,ビッグキャットワルツ - 角野隼斗
music.orange_juice,Orange Juice - Luce Lofi,オレンジジュース - Luce Lofi
music.bakery,Bakery - Luce Lofi,ベーカリー - Luce Lofi
time, "Time Elapsed", "経過時間"
Unfortunately you have ran out of lives :(, "Unfortunately you have ran out of lives :(", "残念ながらライフが尽きました :("
lose_data, "Your Data: ", "あなたのデータ："
lose_s, "s", "秒"
lose_time_spent, "Time Spent: ", "経過時間："
lose_har, "Highest Altitude Reached:", "到達した最高高度："
Here are your stats:, "Here are your stats:", "あなたの統計情報はこちら："
Nice work still! Don't give up and try again!, "Nice work still! Don't give up and try again!", "それでもよくやった！あきらめずにもう一度挑戦しよう！"
Back to Main Screen, "Back to Main Screen", "メイン画面に戻る"
Dont quit brother, How dare you quit my wonderful game? Now get rickrolled!,"おいおい、ぼくの最高なゲームをやめるなんて、\nよくもそんなことを… 罰として、リックロールの刑だ！"
Back to Menu, "Back to Menu", "メニューに戻る"
Quit Game, "Quit Game", "ゲームを終了"
